processed_text,label
years since diagnosed anxiety depression today im taking moment reflect far ive come since,1
sunday need break im planning spend little time possible,1
awake tired need sleep brain ideas,1
rt sewhq retro bears make perfect gifts great beginners get stitching octobers sew sale yay,1
hard say whether packing lists making life easier reinforcing much still needs movinghouse anxiety,1
making packing lists new hobby movinghouse,1
point keeping stuff nostalgic reasons cross line plain old hoarding movinghouse,1
currently findingboxesofrandomshit packing phase think im closet hoarder,1
cant bothered cook take away way lazy,1
rt itventsnews itv releases promo video final series downton abbey,1
also much stuff way way much movinghouse,1
never want put one together lotharderthanitlooks,1
moving stuff bloomin knackering theres still loads,1
back house moving stuff peaceful,1
urgh anxiety ffs come breathe,1
much stuff way way much massive purge way,1
hideous traffic must remember pay closer attention traffic reports,1
packing purging feels good,1
bampq looking internal doors fun times,1
time get many things busy day ahead,1
get lie little longer cat buddy,1
theres nothing like cocktails exhaustion aid good nights sleep,1
great night favourite ladies much needed past days love much,1
sat sofa quick rest hour ago need move,1
much want pizza right,1
always love peter gabriel eyes,1
busy day ahead need focus im feeling edge derailment right,1
even smallest thing still makes heart break doesnt feel like ever goes away,1
choosing curtain pole suddenly confusing many choices yes know isnt real problem,1
completed house got keys fab day whoop,1
rt cphighwycombe catsprotection hi could retweet long stayers sammy suki photographed todaybuckscatsorguk,1
big day today,1
lovely pandastory,1
rt sewhq weather outside frightfulbut makes delightful heres sneak peak october issues projects,1
thats good news least,1
headache took nap three hours woke bit confused time day,1
rt deliciousmag budget recipes less head dont compromise flavour htt,1
rt rspca_official rt ncolondon rspca_official please rt us yr old dog owner getting distraught lost dog,1
rt bbccambs flying displays vintage jets significantly restricted notice caa limited fly pasts,1
rt craftsbeautiful happy monday crafters need bit pickmeup get started check,1
dont sleep like catsoftwitter,1
truly awful,1
dont understand achievepalmyras baalshamin temple blown,1
rt designtaxi cigarettes made green tea leaves claim help quit smoking,1
get morning two whole weeks bliss,1
feel like invisible hand trying remove eyeballs spoon,1
rt designtaxi hair tapestry latest hair trend,1
feels like shoreham coverage alt media gone beyond news ghoulish,1
thomasevansukip mail entirely mo mail online barely news,1
offensivebanter awful,1
awfulness continues heartbreaking,1
lazy afternoon snooze kitty cat lazysunday,1
